,Class,Number of nodes,Number of edges (flows),Anomaly Detection Rate (OCSVM),Anomaly Detection Rate (IForest),Anomaly Detection Rate (HBOS),Anomaly Detection Rate (INNE),Anomaly Detection Rate (Ensemble),,,
0,Benign,7116,5000,3.51,4.76,4.75,4.88,5.91,,,
1,DoS GoldenEye,6287,6133,5999.9139,5830.0298,5969.8622,6020.7661,6044.0715,,,
2,Heartbleed,2084,1515,1501.062,1451.976,1488.033,1498.032,1505.001,,,
3,DoS Slowhttptest,1294,1001,995.995,975.975,992.992,994.994,996.996,,,
4,DoS Slowloris,1516,1213,1197.9588,1171.0302,1196.9884,1200.0209,1207.0563,,,
5,DoS Hulk,5387,5000,4885,4698,4858,4904,4919,,,
6,PortScan,8390,6591,6411.0657,6192.9036,6368.2242,6413.043,6467.0892,,,100
7,DDoS,6075,5000,4933,4803,4922,4927,4953,,,
8,Infiltration,2718,1986,1982.028,1933.9668,1962.9624,1976.07,1982.028,,,
9,Web Attack-BruteForce,191,141,138.9978,135.9945,141,137.9967,141,,,
10,SSH-Patator,282,198,192.9906,190.9908,194.0004,192.9906,194.0004,,,
11,FTP-Patator,303,196,192.0016,182.0056,189.0028,193.0012,194.0008,,,
