,Percentile,Threshold,Detection Count (Benign),Detection Percentage (Benign),Detection Count (PortScan),Detection Percentage (PortScan)
0,99,11.430373668670649,13,1.3,611,61.1
1,98,10.357813262939453,22,2.1999999999999997,623,62.3
2,97,9.782654514312743,27,2.7,629,62.9
3,96,8.252479820251462,37,3.6999999999999997,676,67.60000000000001
4,95,5.761531782150268,51,5.1,832,83.2
5,90,5.0782145977020265,103,10.299999999999999,850,85.0
6,85,4.811444282531738,147,14.7,854,85.39999999999999
7,80,4.678171157836914,200,20.0,860,86.0
