,Percentile,Threshold,Detection Count (Benign),Detection Percentage (Benign),Detection Count (PortScan),Detection Percentage (PortScan)
0,99,5.623848063,7,0.7,290,29
1,98,5.215403821,22,2.2,381,38.1
2,97,5.032216466,27,2.7,414,41.4
3,96,4.879454802,39,3.9,467,46.7
4,95,4.791939088,53,5.3,499,49.9
5,90,4.585652957,99,9.9,548,54.8
6,85,4.461987792,153,15.3,592,59.2
7,80,4.328557625,198,19.8,637,63.7
