,Class,Number of nodes,Number of edges (flows),Anomaly Detection Rate (OCSVM),Anomaly Detection Rate (IForest),Anomaly Detection Rate (HBOS),Anomaly Detection Rate (INNE),Anomaly Detection Rate (Ensemble)
1,DoS GoldenEye,2036,2000,74.7,71.5,71.5,76.2,76.6
2,DoS Slowloris,1489,1445,87.96,85.33,83.18,89.34,89.48
3,DDoS,2001,2000,98.2,4.55,9.7,100,100
4,Infiltration,81,50,92,80,78,96,96
5,Web Attack-BruteForce,523,463,80.78,65.66,67.6,80.78,86.18
6,Web Attack XSS,555,488,85.45,71.52,72.75,84.84,90.16
7,SSH-Patator,2050,1998,72.92,67.92,68.17,74.27,76.18
8,FTP-Patator,2057,1999,55.28,40.32,41.42,61.88,64.58
