,Percentile,Threshold,Detection Count (Benign),Detection Percentage (Benign),Detection Count (PortScan),Detection Percentage (PortScan)
0,99,9.795161997795104,8,0.8,345,34.5
1,98,9.042059566497796,18,1.7999999999999998,443,44.3
2,97,8.537600351333618,28,2.8000000000000003,531,53.1
3,96,7.645053090095512,43,4.3,670,67.0
4,95,6.6423612904548595,51,5.1,793,79.3
5,90,5.7304071474075275,98,9.8,913,91.3
6,85,5.526718945503232,150,15.0,936,93.60000000000001
7,80,5.429044742584228,200,20.0,941,94.1
