,Percentile,Threshold,Detection Count (Benign),Detection Percentage (Benign),Detection Count (PortScan),Detection Percentage (PortScan)
0,99,7.983328030109404,9,0.8999999999999999,378,37.8
1,98,7.614822103977203,20,2.0,453,45.300000000000004
2,97,6.797554805278778,28,2.8000000000000003,607,60.699999999999996
3,96,5.533011817932128,40,4.0,808,80.80000000000001
4,95,5.369359159469602,51,5.1,833,83.3
5,90,4.994678783416748,101,10.100000000000001,897,89.7
6,85,4.831134104728698,151,15.1,923,92.30000000000001
7,80,4.744913101196289,199,19.900000000000002,941,94.1
