,Percentile,Threshold,Detection Count (Benign),Detection Percentage (Benign),Detection Count (PortScan),Detection Percentage (PortScan)
0,99,5.489846962690351,7,0.7000000000000001,57,5.7
1,98,4.970442961692808,20,2.0,133,13.3
2,97,4.834771054267883,29,2.9000000000000004,167,16.7
3,96,4.766030954360962,41,4.1000000000000005,187,18.7
4,95,4.737126684188842,52,5.2,196,19.6
5,90,4.541211559772489,102,10.2,254,25.4
6,85,4.414109582901,152,15.2,293,29.299999999999997
7,80,4.313054118156431,197,19.7,327,32.7
