,Class,Number of nodes,Number of edges (flows),Anomaly Detection Rate (OCSVM),Anomaly Detection Rate (IForest),Anomaly Detection Rate (HBOS),Anomaly Detection Rate (INNE),Anomaly Detection Rate (Ensemble)
0,Benign,6086,5000,3.4,5.19,5.16,4.83,8.94
1,DoS GoldenEye,6841,6607,79.57,78.87,77.19,81.79,81.87
2,Heartbleed,2230,1656,81.34,78.08,75.97,82.43,82.55
3,DoS Slowhttptest,1888,1581,88.8,91.21,87.35,94.88,94.88
4,DoS Slowloris,1846,1529,83,85.55,81.88,89.47,89.54
5,DoS Hulk,5417,5000,77.18,77.1,76.14,79.88,79.98
6,PortScan,9396,7671,75.7,74.15,73.82,77.19,77.86
7,DDoS,4502,5000,83.38,82.42,82.56,84.6,88.12
8,Infiltration,4887,3798,94.15,85.49,78.09,95.6,95.68
9,Web Attack-BruteForce,316,221,88.24,81.45,76.02,94.57,94.57
10,SSH-Patator,661,457,89.06,82.28,77.68,89.93,89.93
11,FTP-Patator,697,464,91.59,84.48,77.8,92.46,92.67
