,Class,Number of nodes,Number of edges (flows),Anomaly Detection Rate (OCSVM),Anomaly Detection Rate (IForest),Anomaly Detection Rate (HBOS),Anomaly Detection Rate (INNE),Anomaly Detection Rate (Ensemble),,
0,Benign,7130,5000,3.79,4.83,4.84,5.13,6.84,,
1,DoS GoldenEye,6687,6484,6181.1972,6104.0376,6109.8732,6118.9508,6242.7952,,
2,Heartbleed,2214,1642,1597.0092,1575.9916,1578.9472,1565.9754,1599.9648,,
3,DoS Slowhttptest,1392,1093,1075.9492,1071.0307,1073.9818,1071.0307,1083.0537,,
4,DoS Slowloris,1641,1331,1282.9509,1268.9754,1270.0402,1256.0647,1293.9982,,
5,DoS Hulk,5413,5000,4809,4745,4782,4751,4846,,
6,PortScan,9132,7306,6969.1934,6912.9372,6936.3164,6826.7264,7021.066,,
7,DDoS,6081,5000,4883,4842,4859,4810,4905,,100
8,Infiltration,3416,2550,2530.11,2467.89,2481.915,2501.04,2542.095,,
9,Web Attack-BruteForce,203,147,143.0016,140.0028,140.0028,142.002,145.0008,,
10,SSH-Patator,384,265,259.011,258.004,258.004,255.99,260.9985,,
11,FTP-Patator,425,275,269.995,266.9975,266.9975,266.0075,272.0025,,
