,Percentile,Threshold,Detection Count (Benign),Detection Percentage (Benign),Detection Count (PortScan),Detection Percentage (PortScan)
0,99,9.275336999893188,13,1.3,321,32.1
1,98,8.404362564086911,19,1.9,457,45.7
2,97,8.05859356880188,33,3.3000000000000003,509,50.9
3,96,7.345735054016113,42,4.2,633,63.3
4,95,6.513963079452511,48,4.8,744,74.4
5,90,5.5521660327911375,100,10.0,899,89.9
6,85,5.375340175628662,153,15.299999999999999,917,91.7
7,80,5.270689678192139,198,19.8,927,92.7
