,Percentile,Threshold,Detection Count (Benign),Detection Percentage (Benign),Detection Count (PortScan),Detection Percentage (PortScan)
0,99,11.414705346584318,7,0.7000000000000001,597,59.699999999999996
1,98,10.375683422088615,23,2.3,637,63.7
2,97,9.690209017753597,28,2.8000000000000003,669,66.9
3,96,8.810971323013302,39,3.9,713,71.3
4,95,6.693158971071239,50,5.0,855,85.5
5,90,5.995015985965685,97,9.700000000000001,899,89.9
6,85,5.812275005578983,149,14.899999999999999,913,91.3
7,80,5.735565757751391,203,20.3,919,91.9
