,Percentile,Threshold,Detection Count (Benign),Detection Percentage (Benign),Detection Count (PortScan),Detection Percentage (PortScan)
0,99,10.85443051147461,10,1.0,573,57.3
1,98,9.755922326087953,18,1.7999999999999998,614,61.4
2,97,9.222454759597776,27,2.7,642,64.2
3,96,8.377787611007689,42,4.2,682,68.2
4,95,6.7921429467201175,53,5.3,822,82.19999999999999
5,90,6.1973219704628,102,10.2,882,88.2
6,85,6.051507040262234,150,15.0,901,90.10000000000001
7,80,5.92906967639924,201,20.1,908,90.8
