,Class,Number of nodes,Number of edges (flows),Anomaly Detection Rate (OCSVM),Anomaly Detection Rate (IForest),Anomaly Detection Rate (HBOS),Anomaly Detection Rate (INNE),Anomaly Detection Rate (Ensemble)
1,DoS GoldenEye,1980,1955,83.58,83.68,83.63,83.94,84.04
2,DoS Slowloris,1316,1289,92.32,92.4,92.32,92.4,92.4
3,DDoS,2001,2000,40.2,30,48.35,99.45,99.5
4,Infiltration,81,50,96,92,96,98,100
5,Web Attack-BruteForce,503,445,87.64,87.19,87.42,93.03,93.93
6,Web Attack XSS,508,445,93.48,93.03,93.71,93.48,95.06
7,SSH-Patator,831,798,81.33,81.45,81.83,81.58,82.08
8,FTP-Patator,219,184,91.3,91.3,90.76,91.85,92.39
